CompanyID,Founded_Year_x,Revenue_(in_000s_USD)_x,Est_Marketing_Department_Budget_(in_000s_USD)_x,Est_Finance_Department_Budget_(in_000s_USD)_x,Est_IT_Department_Budget_(in_000s_USD)_x,Est_HR_Department_Budget_(in_000s_USD)_x,Employees_x,Past_1_Year_Employee_Growth_Rate_x,Past_2_Year_Employee_Growth_Rate_x,Alexa_Rank_x,Total_Funding_Amount_(in_000s_USD)_x,Number_of_Locations_x,Total Budget_x,Profit_x,Marketing_Budget_Ratio_x,Finance_Budget_Ratio_x,IT_Budget_Ratio_x,HR_Budget_Ratio_x,Business_Model_x,Ownership_Type_x,Current_Customer_x,Industry_Hierarchical_Category_x,Company_State_x,Company_Country_x,Primary_Industry_x,Company_Age_x,Revenue_Range_(in_USD)_x,Employee_Range_x,Predicted_Revenue_x,Founded_Year_y,Revenue_(in_000s_USD)_y,Est_Marketing_Department_Budget_(in_000s_USD)_y,Est_Finance_Department_Budget_(in_000s_USD)_y,Est_IT_Department_Budget_(in_000s_USD)_y,Est_HR_Department_Budget_(in_000s_USD)_y,Employees_y,Past_1_Year_Employee_Growth_Rate_y,Past_2_Year_Employee_Growth_Rate_y,Alexa_Rank_y,Total_Funding_Amount_(in_000s_USD)_y,Number_of_Locations_y,Total Budget_y,Profit_y,Marketing_Budget_Ratio_y,Finance_Budget_Ratio_y,IT_Budget_Ratio_y,HR_Budget_Ratio_y,Business_Model_y,Ownership_Type_y,Current_Customer_y,Industry_Hierarchical_Category_y,Company_State_y,Company_Country_y,Primary_Industry_y,Company_Age_y,Revenue_Range_(in_USD)_y,Employee_Range_y,Predicted_Revenue_y,Predicted_Revenue_CBR
155353090,1962.0,20.26248990286209,76956868.0,6307940.0,12615880.0,4734373,2100000,11.2,28.9,81.0,6850,4202.0,100615061.0,530178939.0,0.7648642980000777,0.0626937949180391,0.1253875898360783,0.0470543172458047,0.0,0.0,0,23,2,1,1,61.0,1,1,19.273037944779887,1962.0,20.26248990286209,76956868.0,6307940.0,12615880.0,4734373,2100000,11.2,28.9,81.0,6850,4202.0,100615061.0,530178939.0,0.7648642980000777,0.0626937949180391,0.1253875898360783,0.0470543172458047,0.0,0.0,0,23,2,1,1,61.0,1,1,19.273037944779887,17.796370966608453
369938550,1924.0,18.82502537789708,7491601.0,1498320.0,4345128.0,218617,79340,1.1,7.7,19149509.0,0,4.0,13553666.0,136278356.0,0.5527361379570663,0.110547212835258,0.3205869172222482,0.0161297319854274,0.0,0.0,0,16,43,11,17,99.0,1,1,19.11089831479211,1924.0,18.82502537789708,7491601.0,1498320.0,4345128.0,218617,79340,1.1,7.7,19149509.0,0,4.0,13553666.0,136278356.0,0.5527361379570663,0.110547212835258,0.3205869172222482,0.0161297319854274,0.0,0.0,0,16,43,11,17,99.0,1,1,19.11089831479211,19.754036720594293
459073254,2015.0,19.48377293387285,22583418.0,2171482.0,15634674.0,500936,181798,0.0,0.0,122629.0,0,4.0,40890510.0,248640490.0,0.5522899567650293,0.0531047913073228,0.3823545854527126,0.0122506664749351,0.0,0.0,0,5,1,1,6,8.0,1,1,19.07660726493581,2015.0,19.48377293387285,22583418.0,2171482.0,15634674.0,500936,181798,0.0,0.0,122629.0,0,4.0,40890510.0,248640490.0,0.5522899567650293,0.0531047913073228,0.3823545854527126,0.0122506664749351,0.0,0.0,0,5,1,1,6,8.0,1,1,19.07660726493581,19.28715228358281
5851944,2000.0,17.60111251227026,3569036.0,660932.0,1630300.0,408520,181205,1.4,1.9,385642.0,0,1.0,6268788.0,37793397.0,0.5693342955608006,0.1054321824250556,0.2600662201369706,0.065167301877173,0.0,0.0,0,4,59,14,5,23.0,1,1,19.07529104618109,2000.0,17.60111251227026,3569036.0,660932.0,1630300.0,408520,181205,1.4,1.9,385642.0,0,1.0,6268788.0,37793397.0,0.5693342955608006,0.1054321824250556,0.2600662201369706,0.065167301877173,0.0,0.0,0,4,59,14,5,23.0,1,1,19.07529104618109,18.7902874722697
60720958,1976.0,16.349207451286862,982800.0,94500.0,680400.0,322097,225944,0.3,1.3,509880.0,0,3.0,2079797.0,10520203.0,0.4725461186836984,0.0454371267965094,0.3271473129348681,0.1548694415849239,0.0,1.0,0,5,45,5,6,47.0,1,1,19.067815763163864,1976.0,16.349207451286862,982800.0,94500.0,680400.0,322097,225944,0.3,1.3,509880.0,0,3.0,2079797.0,10520203.0,0.4725461186836984,0.0454371267965094,0.3271473129348681,0.1548694415849239,0.0,1.0,0,5,45,5,6,47.0,1,1,19.067815763163864,18.711076641946143
459963342,2000.0,17.50701159771773,3248505.0,601575.0,1483885.0,360669,253001,0.0,0.0,51609.0,0,2.0,5694634.0,34410366.0,0.5704501816973663,0.1056389225365493,0.2605760089234883,0.063334886842596,0.0,1.0,0,4,62,7,5,23.0,1,1,19.067815763163864,2000.0,17.50701159771773,3248505.0,601575.0,1483885.0,360669,253001,0.0,0.0,51609.0,0,2.0,5694634.0,34410366.0,0.5704501816973663,0.1056389225365493,0.2605760089234883,0.063334886842596,0.0,1.0,0,4,62,7,5,23.0,1,1,19.067815763163864,18.58969834418236
68863214,1984.0,16.454567959008173,1834000.0,140000.0,476000.0,213834,150000,17.8,21.4,256646.0,0,4.0,2663834.0,11336166.0,0.6884813393026743,0.052555827427685,0.1786898132541292,0.0802730200155114,0.0,1.0,0,21,12,1,22,39.0,1,1,19.05653743103071,1984.0,16.454567959008173,1834000.0,140000.0,476000.0,213834,150000,17.8,21.4,256646.0,0,4.0,2663834.0,11336166.0,0.6884813393026743,0.052555827427685,0.1786898132541292,0.0802730200155114,0.0,1.0,0,21,12,1,22,39.0,1,1,19.05653743103071,19.28715228358281
130203765,1852.0,18.11666603043259,5755230.0,553387.0,3984390.0,555898,246577,0.0,0.0,173.0,0,126.0,10848905.0,62936095.0,0.5304894825791174,0.0510085580065453,0.3672619494778505,0.0512400099364866,0.0,0.0,0,9,1,1,10,171.0,1,1,18.99594151835902,1852.0,18.11666603043259,5755230.0,553387.0,3984390.0,555898,246577,0.0,0.0,173.0,0,126.0,10848905.0,62936095.0,0.5304894825791174,0.0510085580065453,0.3672619494778505,0.0512400099364866,0.0,0.0,0,9,1,1,10,171.0,1,1,18.99594151835902,18.16715728714836
3444162,1989.0,19.733086342351932,8916240.0,3715100.0,8916240.0,528884,371000,0.0,0.0,1191.0,0,198.0,22076464.0,349433536.0,0.403879896708096,0.16828329029504,0.403879896708096,0.0239569162887679,0.0,1.0,0,11,15,1,12,34.0,1,1,18.99594151835902,1989.0,19.733086342351932,8916240.0,3715100.0,8916240.0,528884,371000,0.0,0.0,1191.0,0,198.0,22076464.0,349433536.0,0.403879896708096,0.16828329029504,0.403879896708096,0.0239569162887679,0.0,1.0,0,11,15,1,12,34.0,1,1,18.99594151835902,17.588519933482686
141738322,1938.0,19.183449281127775,17368054.0,3216306.0,7933555.0,729557,323606,0.0,0.0,35.0,0,30.0,29247472.0,185172959.0,0.5938309471669894,0.1099686837891493,0.2712560935180996,0.0249442755257616,0.0,0.0,0,8,5,17,9,85.0,1,1,18.98421093730528,1938.0,19.183449281127775,17368054.0,3216306.0,7933555.0,729557,323606,0.0,0.0,35.0,0,30.0,29247472.0,185172959.0,0.5938309471669894,0.1099686837891493,0.2712560935180996,0.0249442755257616,0.0,0.0,0,8,5,17,9,85.0,1,1,18.98421093730528,18.857174406888458
